region,price,year,manufacturer,model,condition,cylinders,fuel,transmission,drive,type,odometer_bins
others,23995,2014,ram,1500,good,8,gas,automatic,4wd,truck,100k-150k
chicago,12950,2018,others,qx30,good,4,gas,automatic,fwd,wagon,50k-100k
baltimore,21518,2005,ford,freestyle sel,excellent,6,gas,automatic,fwd,wagon,50k-100k
others,26990,2016,ford,f150 regular cab xl pickup,good,6,gas,other,4wd,pickup,0-20k
others,10640,2010,others,mkx,excellent,5,gas,automatic,fwd,sedan,50k-100k
spokane / coeur d'alene,19581,2019,audi,q8,good,5,hybrid,automatic,4wd,SUV,20k-50k
others,19581,2003,ford,volts wagon passat,fair,6,gas,automatic,4wd,sedan,50k-100k
others,39590,2019,others,continental reserve,good,6,gas,other,4wd,sedan,20k-50k
others,24900,2011,chevrolet,express hightop,good,5,gas,automatic,4wd,sedan,100k-150k
others,21518,2013,nissan,altima,excellent,4,gas,automatic,fwd,sedan,150k-200k
houston,34900,2018,gmc,sierra,like new,8,gas,automatic,4wd,pickup,50k-100k
others,26590,2017,kia,k900 premium sedan 4d,good,6,gas,other,rwd,sedan,20k-50k
seattle-tacoma,21518,2008,ford,focus s,good,4,gas,automatic,fwd,coupe,50k-100k
cincinnati,19581,2004,ford,escape,good,6,gas,automatic,4wd,sedan,100k-150k
orlando,19581,2013,bmw,7 series,excellent,8,gas,other,4wd,sedan,50k-100k
orlando,13000,2009,others,6,excellent,4,gas,automatic,fwd,sedan,50k-100k
austin,14500,2013,honda,accord ex,excellent,4,gas,automatic,fwd,sedan,50k-100k
others,8000,2001,ram,1500 4x4,like new,8,gas,automatic,4wd,pickup,150k-200k
others,23498,2013,chevrolet,silverado lt z71 4x4,good,8,gas,automatic,4wd,truck,100k-150k
orlando,43500,2013,chevrolet,corvette,excellent,8,gas,automatic,rwd,coupe,20k-50k
others,21518,2002,cadillac,deville,good,8,gas,automatic,rwd,sedan,20k-50k
others,38615,2021,chevrolet,silverado 1500,good,4,gas,automatic,4wd,pickup,0-20k
others,20990,2020,honda,fit sport hatchback 4d,good,5,gas,other,fwd,hatchback,0-20k
others,19581,2019,ram,3500,good,0,diesel,automatic,4wd,truck,20k-50k
others,21990,2011,ford,ranger super cab xlt pickup,good,6,gas,other,4wd,pickup,20k-50k
others,19581,2000,dodge,grand caravan,excellent,6,gas,automatic,fwd,mini-van,100k-150k
others,21590,2011,others,mx-5 miata grand touring,good,5,gas,other,rwd,convertible,20k-50k
others,19581,2018,others,model s,good,5,electric,automatic,4wd,hatchback,0-20k
others,46875,2015,chevrolet,corvette,good,5,gas,manual,4wd,coupe,20k-50k
others,8995,2009,ford,flex se,good,6,gas,automatic,fwd,SUV,100k-150k
stockton,21518,2015,chevrolet,sonic,excellent,5,gas,automatic,fwd,sedan,100k-150k
others,32991,2013,jeep,wrangler,like new,6,gas,automatic,4wd,other,50k-100k
others,32990,2016,jeep,wrangler rubicon sport,good,6,gas,other,4wd,other,20k-50k
SF bay area,27990,2019,others,outlander phev gt,good,5,hybrid,other,4wd,other,0-20k
others,26990,2016,ford,f150 regular cab xl pickup,good,6,gas,other,4wd,pickup,0-20k
new york city,17999,2016,subaru,wrx premium,good,4,gas,manual,4wd,sedan,50k-100k
others,8999,2015,nissan,versa note,good,4,gas,automatic,fwd,hatchback,50k-100k
reno / tahoe,26777,2005,ford,HUMMER H2,good,5,gas,automatic,4wd,truck,100k-150k
others,21518,2016,chevrolet,corvette,good,5,gas,automatic,4wd,coupe,0-20k
others,9999,2016,ford,fusion,good,5,gas,automatic,4wd,sedan,100k-150k
"washington, DC",26590,2013,others,g g37 convertible 2d,good,6,gas,automatic,rwd,other,20k-50k
others,31777,2016,jeep,wrangler unlimited,good,5,gas,automatic,4wd,other,50k-100k
inland empire,19581,2011,jeep,wrangler unlimited wd dr rubicon,good,0,other,automatic,4wd,sedan,50k-100k
"washington, DC",21518,2014,ford,shelby,like new,8,gas,manual,rwd,coupe,0-20k
others,19581,2003,honda,civic,excellent,4,hybrid,automatic,fwd,sedan,150k-200k
others,21518,2013,chevrolet,sonic lt,excellent,4,gas,automatic,fwd,sedan,100k-150k
others,27990,2018,audi,a4 ultra premium sedan 4d,good,5,other,other,fwd,sedan,0-20k
others,43941,2020,chevrolet,camaro ss,like new,5,gas,automatic,rwd,sedan,0-20k
others,31900,2014,others,cayenne,good,5,gas,automatic,4wd,SUV,50k-100k
north jersey,19581,2018,bmw,330i,good,5,gas,automatic,4wd,sedan,0-20k
denver,23337,2013,dodge,"charger sxt-*leather*v6,3",good,5,gas,automatic,4wd,sedan,20k-50k
others,38990,2016,ford,f-150,good,5,gas,automatic,4wd,pickup,50k-100k
austin,20590,2015,ford,Scion tC Hatchback Coupe 2D,good,5,other,other,fwd,coupe,0-20k
others,10995,2013,others,encore,excellent,4,gas,automatic,4wd,sedan,150k-200k
others,21518,2011,chevrolet,cruze lt turbo,good,4,gas,automatic,fwd,sedan,50k-100k
others,30980,2019,chevrolet,express,good,5,gas,automatic,4wd,van,0-20k
"st louis, MO",10998,2018,ford,fiesta,good,4,gas,manual,fwd,sedan,20k-50k
others,29990,2015,ford,super duty f-250 srw,good,8,diesel,automatic,4wd,sedan,150k-200k
orange county,14510,2011,others,cx-9,good,6,gas,automatic,fwd,SUV,50k-100k
others,13900,2013,ford,edge,good,5,gas,automatic,fwd,SUV,100k-150k
others,12777,2014,honda,cr-v,good,5,gas,automatic,fwd,SUV,100k-150k
boston,39990,2016,ford,f150 supercrew cab xlt,good,5,other,other,4wd,pickup,20k-50k
pittsburgh,20444,2013,chevrolet,silverado 1500,good,5,gas,automatic,4wd,other,50k-100k
stockton,13900,2009,gmc,sierra 2500hd 4x4 extra cab,good,8,gas,automatic,4wd,truck,150k-200k
san diego,35000,2018,audi,a5 2.0t premium plus,excellent,5,gas,automatic,4wd,sedan,20k-50k
others,19581,2015,gmc,sierra 2500hd,good,8,diesel,automatic,4wd,truck,50k-100k
others,19581,2011,toyota,fj cruiser,good,6,gas,automatic,4wd,SUV,50k-100k
others,9988,2012,volkswagen,jetta sedan,good,5,gas,automatic,4wd,sedan,50k-100k
others,14980,2017,nissan,rogue s,excellent,4,gas,automatic,4wd,SUV,50k-100k
others,26590,2013,others,g g37 convertible 2d,good,6,gas,automatic,rwd,other,20k-50k
others,21590,2017,others,regal premium ii sedan 4d,good,5,gas,other,fwd,sedan,0-20k
minneapolis / st paul,22598,2011,ford,a RAV4,good,4,gas,automatic,4wd,SUV,20k-50k
charlotte,7500,2015,chevrolet,malibu lt,excellent,4,gas,automatic,fwd,sedan,100k-150k
stockton,19581,2012,others,g37 sedan,excellent,5,gas,manual,rwd,sedan,50k-100k
houston,23590,2017,nissan,frontier king cab sv,good,5,gas,other,fwd,pickup,20k-50k
others,31590,2017,lexus,rx 350 sport utility 4d,good,6,gas,other,fwd,SUV,20k-50k
others,21518,2017,ford,2017,good,5,diesel,automatic,4wd,sedan,50k-100k
others,13769,2011,toyota,avalon,good,5,gas,automatic,4wd,sedan,50k-100k
others,25000,1959,ford,willys,excellent,8,gas,manual,4wd,sedan,0-20k
reno / tahoe,21518,2004,ford,Volts wagon passw,excellent,6,gas,automatic,4wd,wagon,100k-150k
others,15000,2013,chevrolet,camaro 1lt,like new,6,gas,automatic,rwd,coupe,100k-150k
north jersey,12999,2013,toyota,venza,good,5,gas,automatic,fwd,wagon,100k-150k
los angeles,12995,2014,nissan,pathfinder sl,excellent,6,gas,automatic,4wd,SUV,20k-50k
atlanta,17500,1997,chevrolet,camaro z28 30th anniversary pace car,good,8,gas,automatic,rwd,convertible,50k-100k
reno / tahoe,15991,2016,kia,optima,good,5,gas,automatic,4wd,sedan,50k-100k
cincinnati,18900,2015,mercedes-benz,cla-class,good,5,gas,automatic,4wd,sedan,50k-100k
others,21518,2009,toyota,rav4,good,5,gas,automatic,fwd,wagon,150k-200k
portland,19581,2013,ford,f-150 platinum,good,6,gas,automatic,4wd,truck,50k-100k
others,13900,2010,ford,f-150,good,8,gas,automatic,4wd,truck,100k-150k
boston,21518,2004,subaru,forester,like new,4,gas,automatic,4wd,sedan,100k-150k
grand rapids,19000,2012,jeep,wrangler,good,5,other,automatic,4wd,SUV,150k-200k
others,31995,2019,toyota,tacoma 2wd,good,5,gas,automatic,rwd,pickup,20k-50k
others,21518,2012,ford,focus,good,5,gas,automatic,fwd,sedan,50k-100k
dallas / fort worth,8400,2008,chevrolet,f-150,good,5,gas,automatic,4wd,sedan,100k-150k
others,24995,2012,ford,f-250 super duty,good,5,gas,automatic,4wd,sedan,20k-50k
reno / tahoe,9995,1999,jeep,grand cherokee,excellent,6,gas,automatic,rwd,SUV,50k-100k
others,12995,2010,ram,1500,good,5,gas,automatic,4wd,sedan,150k-200k
pittsburgh,19581,2015,others,outlander sport es,excellent,5,gas,automatic,4wd,SUV,50k-100k
"washington, DC",21518,2003,chevrolet,trailblazer,like new,6,gas,automatic,4wd,SUV,100k-150k
tampa bay area,14995,2015,dodge,charger,good,5,gas,automatic,rwd,sedan,50k-100k
cincinnati,19581,2009,others,s60,excellent,5,gas,automatic,fwd,sedan,100k-150k
spokane / coeur d'alene,19581,2018,gmc,sierra 1500,good,5,gas,automatic,4wd,truck,20k-50k
others,7995,2015,honda,civic,good,5,gas,automatic,4wd,sedan,150k-200k
orlando,19581,1997,gmc,sierra 1500,fair,8,gas,automatic,rwd,truck,200k-300k
others,18498,2018,jeep,renegade upland edition,good,4,gas,automatic,4wd,SUV,20k-50k
others,19581,2005,ford,five hundred,good,6,gas,automatic,fwd,sedan,150k-200k
SF bay area,16990,2014,acura,tsx sedan 4d,good,5,gas,other,fwd,sedan,50k-100k
others,22450,2012,ford,e-150 reefer cargo van,like new,5,gas,automatic,4wd,sedan,20k-50k
others,23990,2014,gmc,sierra,good,5,other,automatic,4wd,pickup,100k-150k
others,19581,2007,chrysler,sebring,good,4,gas,automatic,fwd,sedan,150k-200k
others,19581,2018,chevrolet,silverado 1500,good,8,gas,automatic,4wd,truck,100k-150k
others,13500,2007,ford,f-150,excellent,8,gas,automatic,4wd,truck,100k-150k
oklahoma city,15990,2017,ford,c-max hybrid se wagon 4d,good,5,hybrid,other,fwd,wagon,20k-50k
others,15990,2016,ford,Scion iM Hatchback 4D,good,5,gas,other,fwd,hatchback,20k-50k
others,19581,2017,lexus,rx,good,5,gas,automatic,4wd,SUV,20k-50k
others,39990,2020,ford,mustang gt coupe 2d,good,8,gas,other,rwd,coupe,0-20k
ft myers / SW florida,48900,2009,others,911 carrera s cabriolet,good,6,gas,other,rwd,convertible,50k-100k
others,22950,2017,bmw,x5 xdrive35i awd luxury suv,good,5,gas,automatic,4wd,sedan,100k-150k
albuquerque,23590,2013,mercedes-benz,s-class s 550,good,8,other,automatic,4wd,sedan,50k-100k
others,22000,2004,ford,international 4300,excellent,5,diesel,manual,rwd,truck,100k-150k
others,27987,2019,ford,edge,good,4,gas,automatic,4wd,SUV,20k-50k
others,27590,2020,volkswagen,golf gti s hatchback,good,5,gas,other,fwd,sedan,0-20k
others,19581,2012,jeep,liberty,good,6,gas,automatic,rwd,SUV,50k-100k
others,16590,2015,volkswagen,beetle 1.8t fleet,good,5,gas,other,fwd,hatchback,20k-50k
austin,27590,2018,ford,Genesis G80 3.8 Sedan 4D,good,6,gas,other,rwd,sedan,20k-50k
grand rapids,19581,2012,kia,sorento,good,5,gas,automatic,4wd,sedan,100k-150k
others,34990,2016,ford,f550 super duty,excellent,8,diesel,automatic,4wd,pickup,100k-150k
others,19990,2013,chevrolet,silverado,good,5,other,automatic,4wd,pickup,150k-200k
others,7500,2014,chevrolet,impala limited,excellent,6,gas,automatic,fwd,sedan,100k-150k
others,7975,2016,chrysler,200,excellent,4,gas,automatic,fwd,sedan,100k-150k
others,19000,2017,gmc,sierra 1500,good,5,gas,automatic,4wd,sedan,50k-100k
others,21518,2007,ford,saab 9-3 convertible,good,6,gas,automatic,fwd,convertible,150k-200k
others,11500,2007,toyota,4runner,excellent,6,gas,automatic,rwd,SUV,150k-200k
others,21518,2012,chrysler,town & country,good,5,gas,automatic,4wd,sedan,150k-200k
ft myers / SW florida,35000,2014,ford,f-150,good,5,gas,automatic,4wd,pickup,20k-50k
others,27900,2014,chevrolet,silverado 3500hd,good,8,diesel,automatic,4wd,truck,150k-200k
others,21518,2009,toyota,matrix,excellent,4,gas,automatic,4wd,hatchback,150k-200k
"st louis, MO",21518,2009,chevrolet,malibu lt,like new,4,gas,automatic,4wd,sedan,100k-150k
others,11900,2007,toyota,f-150,good,5,gas,automatic,4wd,sedan,200k-300k
south florida,19900,2015,bmw,x5 xdrive35i,excellent,6,gas,automatic,4wd,SUV,100k-150k
others,13995,2017,others,cx-3,good,4,gas,automatic,4wd,SUV,0-20k
others,32990,2018,acura,mdx sh-awd w/technology,good,6,gas,other,4wd,SUV,20k-50k
dallas / fort worth,26990,2015,mercedes-benz,slk-class slk 250,good,5,gas,other,rwd,other,20k-50k
others,10950,2008,gmc,yukon denali,like new,8,gas,automatic,4wd,SUV,200k-300k
others,15285,2010,chevrolet,tahoe ltz,good,8,other,automatic,4wd,other,150k-200k
others,37998,2020,nissan,maxima,good,5,gas,automatic,fwd,sedan,20k-50k
others,33995,2019,ram,1500,good,5,gas,automatic,fwd,pickup,20k-50k
phoenix,38990,2020,others,corsair sport utility 4d,good,5,other,other,fwd,other,0-20k
orlando,10900,2013,bmw,528i,like new,4,gas,automatic,rwd,sedan,100k-150k
others,10999,2013,volkswagen,golf gti,good,5,gas,automatic,4wd,sedan,50k-100k
others,13700,1982,others,928,good,8,gas,manual,4wd,sedan,50k-100k
others,21518,1998,ford,Isuzu NPR diesel,good,4,diesel,manual,4wd,truck,100k-150k
minneapolis / st paul,21518,2012,kia,rio,excellent,5,gas,automatic,fwd,sedan,100k-150k
others,36590,2019,others,q60 3.0t luxe coupe 2d,good,5,other,other,4wd,coupe,0-20k
"st louis, MO",19581,2019,jeep,cherokee 4wd latitude plus,good,5,gas,automatic,4wd,sedan,20k-50k
others,21518,2005,honda,accord,good,4,gas,automatic,fwd,sedan,200k-300k
detroit metro,21518,2008,chrysler,sebring convertible,excellent,6,gas,automatic,fwd,convertible,50k-100k
others,49000,2016,chevrolet,tahoe,excellent,8,gas,automatic,4wd,SUV,20k-50k
"washington, DC",30990,2018,ford,taurus sho sedan 4d,good,6,other,other,4wd,sedan,20k-50k
others,39590,2020,ford,mustang gt coupe 2d,good,8,gas,other,rwd,coupe,0-20k
others,17990,2019,chevrolet,trax lt sport utility,good,5,gas,other,fwd,hatchback,0-20k
others,29590,2018,audi,a6 2.0t premium sedan 4d,good,5,other,automatic,4wd,sedan,20k-50k
others,13500,1992,jeep,wrangler,excellent,8,gas,automatic,4wd,sedan,100k-150k
boston,34995,2017,nissan,titan,excellent,5,gas,automatic,4wd,pickup,50k-100k
others,13900,1994,chevrolet,c/k 1500,good,8,gas,automatic,rwd,truck,100k-150k
others,16500,2014,jeep,grand cherokee limited,good,5,gas,automatic,4wd,SUV,50k-100k
others,33000,1957,chevrolet,belair,good,5,gas,automatic,4wd,sedan,50k-100k
milwaukee,21518,2007,honda,accord,like new,4,gas,automatic,fwd,sedan,150k-200k
spokane / coeur d'alene,19581,1999,volkswagen,passat,fair,5,gas,automatic,4wd,sedan,150k-200k
detroit metro,21995,2017,bmw,330xi,good,5,gas,automatic,4wd,sedan,50k-100k
others,11995,2013,ford,edge,excellent,4,gas,automatic,fwd,SUV,50k-100k
oklahoma city,7500,2011,audi,a4,excellent,4,gas,automatic,fwd,sedan,100k-150k
detroit metro,15000,1995,ford,f450,like new,8,diesel,manual,rwd,truck,50k-100k
others,25590,2019,subaru,crosstrek 2.0i premium,good,5,gas,other,4wd,hatchback,0-20k
others,25990,2012,chevrolet,silverado 1500,excellent,5,gas,automatic,4wd,pickup,50k-100k
others,19581,2006,subaru,impreza,fair,4,gas,automatic,4wd,hatchback,50k-100k
ft myers / SW florida,19581,2001,others,456 mgt,good,12,gas,manual,rwd,sedan,0-20k
others,21518,2014,kia,forte lx,good,4,gas,automatic,4wd,sedan,50k-100k
others,35590,2011,dodge,challenger srt8 coupe 2d,good,8,gas,other,rwd,coupe,0-20k
others,21300,2018,ford,edge,good,5,gas,automatic,fwd,SUV,20k-50k
others,12988,2000,ford,f250 super duty super cab,good,8,diesel,automatic,4wd,pickup,200k-300k
milwaukee,21518,2011,others,enclave,good,5,gas,automatic,4wd,SUV,0-20k
others,19640,2015,mercedes-benz,m-class,good,6,gas,automatic,rwd,SUV,50k-100k
SF bay area,13500,2010,toyota,highlander limited,excellent,6,gas,automatic,4wd,SUV,100k-150k
cleveland,21518,2005,toyota,sienna,excellent,6,gas,automatic,fwd,mini-van,150k-200k
tucson,8999,2014,nissan,maxima,excellent,6,gas,automatic,fwd,coupe,100k-150k
others,19581,2016,nissan,altima,good,4,gas,automatic,fwd,sedan,50k-100k
inland empire,15990,2017,bmw,320i,good,5,gas,automatic,4wd,sedan,50k-100k
others,22909,2014,dodge,challenger,excellent,5,gas,automatic,rwd,coupe,100k-150k
others,34388,2017,chevrolet,silverado 1500,good,5,gas,automatic,4wd,pickup,50k-100k
others,19590,2013,lexus,gs 350 sedan 4d,good,6,gas,other,rwd,sedan,50k-100k
minneapolis / st paul,15495,2013,others,m37,good,5,gas,automatic,4wd,sedan,50k-100k
others,7949,2007,jeep,grand cherokee limited,excellent,8,gas,automatic,rwd,SUV,100k-150k
chicago,21518,2001,volkswagen,jetta gls,good,4,gas,automatic,4wd,sedan,50k-100k
others,29990,2019,others,mx-5 miata grand touring,good,5,gas,other,rwd,other,0-20k
others,21518,2011,nissan,versa,excellent,4,gas,automatic,4wd,sedan,50k-100k
others,25990,2019,ram,1500 classic regular cab,good,8,gas,other,4wd,pickup,0-20k
others,11950,2015,nissan,leaf,good,5,electric,other,fwd,sedan,20k-50k
others,19581,2016,jeep,wrangler unlimited,good,6,gas,automatic,4wd,SUV,50k-100k
others,20500,2011,chevrolet,silverado,good,5,other,automatic,4wd,pickup,100k-150k
others,9500,1934,ford,34 Tudor,excellent,0,other,other,rwd,sedan,500k+
albuquerque,24590,2020,others,hardtop 4 door cooper,good,5,gas,other,fwd,hatchback,0-20k
others,32590,2013,lexus,ls 460 sedan 4d,good,8,gas,other,rwd,sedan,20k-50k
los angeles,29990,2019,toyota,avalon xse sedan 4d,good,6,other,other,fwd,sedan,0-20k
others,21999,2018,honda,accord,good,4,gas,automatic,fwd,sedan,20k-50k
oklahoma city,19581,1993,chevrolet,suburban,fair,8,gas,automatic,rwd,sedan,150k-200k
dallas / fort worth,15000,2013,ford,f150,good,5,gas,automatic,4wd,sedan,150k-200k
others,28590,2015,ford,mustang gt coupe 2d,good,8,gas,other,rwd,coupe,50k-100k
phoenix,21518,2008,others,g37,excellent,6,gas,automatic,4wd,coupe,150k-200k
others,24990,2012,others,range evoque coupe,good,5,gas,automatic,4wd,coupe,20k-50k
others,21518,1986,ford,f350 4x4,fair,5,gas,automatic,4wd,truck,400k-500k
others,39999,2017,ram,1500 sport 4x4 1/2 ton,good,5,gas,automatic,4wd,truck,20k-50k
others,33990,2020,jeep,wrangler sport suv 2d,good,6,gas,other,4wd,other,0-20k
long island,21518,2010,chevrolet,impala,good,6,gas,automatic,fwd,sedan,50k-100k
others,11995,2007,lexus,es 350,good,5,gas,automatic,fwd,sedan,50k-100k
north jersey,30990,2013,toyota,tacoma double cab,good,6,gas,other,4wd,pickup,20k-50k
cleveland,27990,2019,volkswagen,atlas s 4motion sport,good,5,other,other,4wd,SUV,0-20k
cleveland,16590,2014,acura,rdx sport utility 4d,good,6,gas,automatic,fwd,SUV,50k-100k
others,21518,2020,toyota,4runner trd pro sport,good,6,gas,other,4wd,SUV,0-20k
others,19581,2019,audi,q8 premium sport utility 4d,good,5,other,automatic,4wd,other,20k-50k
others,15590,2016,ford,Scion iM Hatchback 4D,good,5,gas,other,fwd,hatchback,20k-50k
san diego,27990,2014,ford,MASERATI GHIBLI TWIN-TURBO RWD,like new,5,gas,automatic,4wd,sedan,20k-50k
others,17250,2018,hyundai,santa fe sport 2.4l,like new,4,gas,automatic,fwd,SUV,20k-50k
others,19581,2019,ford,mustang,excellent,8,gas,other,4wd,coupe,0-20k
colorado springs,15590,2016,chevrolet,cruze limited 1lt,good,5,gas,automatic,fwd,sedan,0-20k
others,16998,2015,acura,tlx,good,6,gas,other,fwd,sedan,50k-100k
seattle-tacoma,37991,2014,ford,f-350 super duty,good,5,diesel,automatic,4wd,truck,150k-200k
others,29995,2015,ford,super duty f-350 srw,good,8,gas,automatic,4wd,truck,50k-100k
others,17495,2011,chevrolet,express,good,8,gas,automatic,rwd,van,50k-100k
others,7600,2007,others,cooper s,excellent,4,gas,manual,fwd,sedan,50k-100k
orlando,7950,2017,hyundai,elantra,excellent,5,gas,automatic,fwd,sedan,100k-150k
dallas / fort worth,9500,2013,others,mks awd,good,8,gas,automatic,rwd,sedan,100k-150k
"washington, DC",8500,2011,subaru,impreza,excellent,5,gas,automatic,4wd,wagon,50k-100k
others,19581,2020,chevrolet,"silverado 2500hd 4wd crew cab 159"" lt",good,5,gas,automatic,4wd,pickup,0-20k
others,19581,2005,ford,International 4300,good,5,diesel,automatic,4wd,sedan,100k-150k
portland,21995,2015,jeep,wrangler,excellent,6,gas,manual,4wd,sedan,100k-150k
others,9000,1986,bmw,e30,good,5,gas,manual,4wd,sedan,100k-150k
others,31999,2017,chevrolet,silverado,good,5,other,automatic,4wd,pickup,100k-150k
oklahoma city,10200,2008,gmc,sierra,good,5,gas,automatic,4wd,sedan,150k-200k
others,15980,2009,ram,f-150,good,5,gas,automatic,4wd,pickup,100k-150k
others,19581,2020,chevrolet,equinox lt,good,5,gas,automatic,4wd,sedan,0-20k
others,37990,2016,chevrolet,camaro ss coupe 2d,good,8,gas,other,rwd,coupe,0-20k
others,26500,2009,jeep,wrangler,excellent,6,gas,manual,4wd,offroad,50k-100k
minneapolis / st paul,19581,2013,volkswagen,passat tdi,like new,5,diesel,automatic,fwd,sedan,100k-150k
others,9000,1993,chevrolet,silverado,excellent,8,gas,automatic,4wd,pickup,200k-300k
others,32990,2011,mercedes-benz,e-class e 63 amg,good,8,gas,automatic,rwd,sedan,50k-100k
south jersey,21518,1996,jeep,cherokee,good,6,gas,automatic,4wd,SUV,100k-150k
others,23885,2017,ford,f150 xlt 4x4,good,5,gas,automatic,4wd,sedan,100k-150k
others,29000,1968,ford,mustang,excellent,5,gas,automatic,4wd,sedan,50k-100k
chicago,10400,2003,ford,ranger xlt,good,6,gas,manual,4wd,sedan,50k-100k
others,7990,2009,honda,accord sdn,good,5,gas,automatic,4wd,sedan,100k-150k
others,19581,2016,chevrolet,f-150,good,8,other,automatic,fwd,other,0-20k
reno / tahoe,35985,2018,ford,f150 supercrew cab,excellent,5,gas,automatic,4wd,pickup,50k-100k
others,11495,2008,chevrolet,silverado 1500,good,8,gas,automatic,4wd,pickup,150k-200k
SF bay area,36900,2019,ram,1500 classic tradesman,good,8,gas,automatic,4wd,sedan,20k-50k
others,8700,2007,ford,f-150,fair,8,gas,automatic,4wd,truck,100k-150k
rochester,11495,2014,chrysler,town & country touring,like new,6,gas,automatic,fwd,mini-van,50k-100k
tampa bay area,8600,2011,honda,crv ex-l,excellent,4,gas,automatic,4wd,SUV,150k-200k
portland,19581,2017,bmw,3 series 320i xdrive,good,4,gas,automatic,4wd,sedan,50k-100k
others,21518,2013,ford,fusion se,excellent,4,gas,automatic,fwd,sedan,100k-150k
others,28590,2018,jeep,grand cherokee limited,good,6,gas,other,4wd,other,20k-50k
others,19999,2001,ram,3500 laramie,good,10,gas,automatic,4wd,truck,100k-150k
others,44999,2020,ford,f150 xlt 4x4 1/2 ton gas,good,5,gas,automatic,4wd,truck,20k-50k
others,14500,2005,ford,mustang gt,good,5,gas,automatic,4wd,sedan,20k-50k
others,29000,1968,chevrolet,corvette convertible,like new,8,gas,manual,rwd,convertible,50k-100k
others,12767,2016,chevrolet,equinox ls,good,5,gas,automatic,4wd,sedan,50k-100k
dallas / fort worth,7500,1952,ford,f1,good,8,gas,manual,rwd,truck,0-20k
south jersey,30985,2014,mercedes-benz,gl,good,5,gas,automatic,4wd,other,50k-100k
long island,7999,2007,toyota,sienna,excellent,6,gas,automatic,fwd,mini-van,100k-150k
others,13999,2013,chevrolet,camaro,good,5,gas,automatic,4wd,coupe,50k-100k
others,17000,2019,subaru,impreza premium,good,4,gas,automatic,4wd,sedan,100k-150k
others,21518,2016,gmc,sierra,excellent,8,gas,automatic,4wd,pickup,50k-100k
others,21518,2005,toyota,prius,good,4,hybrid,automatic,fwd,hatchback,200k-300k
others,36999,2006,ram,3500 slt,good,6,diesel,automatic,4wd,truck,100k-150k
others,25990,2013,bmw,x6 xdrive35i sport utility,good,5,gas,automatic,4wd,SUV,50k-100k
others,21518,1983,chevrolet,c20,good,5,gas,manual,4wd,truck,150k-200k
stockton,24990,2019,nissan,frontier crew cab sv,good,6,gas,other,fwd,pickup,20k-50k
others,21990,2016,ford,Scion FR-S Release Series 2.0,good,5,gas,other,rwd,coupe,20k-50k
SF bay area,16590,2017,nissan,sentra sl sedan 4d,good,5,gas,other,fwd,sedan,20k-50k
austin,21990,2015,others,mkt ecoboost sport,good,6,gas,automatic,4wd,hatchback,50k-100k
others,33989,2016,jeep,wrangler unlimited,good,6,gas,automatic,4wd,SUV,50k-100k
others,19581,2017,bmw,5 series,good,4,gas,automatic,rwd,sedan,50k-100k
others,21518,2011,subaru,outback,like new,4,gas,automatic,4wd,wagon,100k-150k
others,21518,2007,toyota,prius,good,4,hybrid,automatic,fwd,hatchback,200k-300k
denver,21518,2010,chevrolet,cobalt,good,5,gas,automatic,4wd,coupe,100k-150k
tampa bay area,24998,2014,ram,2500 big horn,like new,8,gas,automatic,4wd,truck,100k-150k
others,14500,2007,ford,f150 xlt,excellent,8,gas,automatic,rwd,pickup,150k-200k
others,18000,2006,ford,f450,fair,8,diesel,automatic,rwd,bus,150k-200k
others,19581,2017,nissan,titan xd,good,8,diesel,automatic,4wd,truck,50k-100k
others,8999,2004,lexus,ls 430,good,8,gas,automatic,rwd,sedan,100k-150k
milwaukee,10999,2012,jeep,grand cherokee,good,5,gas,automatic,4wd,sedan,100k-150k
others,47990,2018,bmw,7 series 750i sedan 4d,good,5,other,automatic,rwd,sedan,20k-50k
others,19000,2013,audi,a5 prem plus convertible,excellent,5,gas,automatic,4wd,convertible,50k-100k
south florida,14890,2016,hyundai,santa fe,good,5,gas,automatic,fwd,wagon,20k-50k
others,38990,2020,others,model 3 standard range,good,5,electric,other,4wd,sedan,0-20k
others,15895,2011,chevrolet,silverado ext cab,good,5,gas,automatic,4wd,sedan,100k-150k
others,23997,2012,toyota,tacoma v6 1-oregon owner*zero rust*4x4*trd off road*45 service records*like new in&out*rear lockers*never off road*zero accidents,good,6,gas,automatic,4wd,pickup,150k-200k
los angeles,19581,1974,chevrolet,malibu,good,5,gas,automatic,4wd,sedan,50k-100k
others,13990,2015,toyota,prius iv,excellent,4,hybrid,automatic,fwd,sedan,50k-100k
others,12450,2013,subaru,crosstrek 2.0 limited awd,excellent,4,gas,automatic,4wd,SUV,50k-100k
colorado springs,32590,2019,acura,rdx fwd w/advance pkg,good,5,other,other,fwd,SUV,50k-100k
others,37990,2019,ford,mustang gt coupe 2d,good,8,gas,other,rwd,coupe,0-20k
portland,16995,2000,ford,freightliner mt45,good,6,diesel,automatic,rwd,van,200k-300k
others,19581,2007,chrysler,sebring,fair,6,gas,automatic,fwd,sedan,50k-100k
others,35590,2015,dodge,challenger srt 392 coupe,good,8,gas,other,rwd,coupe,20k-50k
others,33990,2012,mercedes-benz,e-class e 63 amg,good,8,gas,automatic,rwd,sedan,50k-100k
